Title,Artist,Album
"Chalti Hai Kya 9 Se 12 (From ""Judwaa 2"")","Dev Negi, Neha Kakkar, Sandeep Shirodkar, Anu Malik","Chalti Hai Kya 9 Se 12 (From ""Judwaa 2"")"
Radha,"Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani",Radha
Thank You God,"Dhvani Bhanushali, Shloke Lal, David Arkwright",Thank You God
Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste
Sun Saathiya,"Divya Kumar, Priya Saraiya",ABCD 2 (Original Motion Picture Soundtrack)
Mera Mann Kehne Laga (Reprise),Falak Shabbir,Nautanki Saala !
Uff,"Harshdeep Kaur, Benny Dayal",Bang Bang (Original Motion Picture Soundtrack)
Hale Dil,Harshit Saxena,Murder 2
Hookah Bar,"Himesh Reshammiya, Vineet Singh, Aaman Trikha",Khiladi 786
Saari Duniya Jalaa Denge,"Jaani, B Praak",ANIMAL
Chand Sifarish,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",Fanaa
Mere Haath Mein,"Jatin-Lalit, Sonu Nigam, Sunidhi Chauhan, Aamir Khan, Kajol, Prasoon Joshi",Fanaa
Deewana Kar Raha Hai,Javed Ali,Raaz 3
Guzarish,Javed Ali,Ghajini
Kabhii Tumhhe,"Javed-Mohsin, Darshan Raval",Shershaah (Original Motion Picture Soundtrack)
Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal
Hamari Adhuri Kahani (Title Track),"Jeet Gannguli, Arijit Singh",Hamari Adhuri Kahani (Original Motion Picture Soundtrack)
Khamoshiyan,"Jeet Gannguli, Arijit Singh",Khamoshiyan (Original Motion Picture Soundtrack)
Allah Ke Bande,Kailash Kher,Waisa Bhi Hota Hai Part 2 (Original Motion Picture Soundtrack)
Mere Nishaan,"Kailash Kher, Meet Bros Anjjan",Oh My God
Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa
"Rangisari (From ""Jugjugg Jeeyo"")","Kanishk Seth, Kavita Seth","Rangisari (From ""Jugjugg Jeeyo"")"
Abhi Abhi,"KK, Shreya Ghoshal",Jism 2
"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits
Chale Jaise Hawaien,"KK, Vasundhara Das",Main Hoon Na
Kya Mujhe Pyar Hai,KK,Woh Lamhe
Teri Yaadon Mein,"KK, Shreya Ghoshal",The Killer
Tu Hi Meri Shab Hai - Remix,KK,Gangster
Sadi Gali,"Lehmber Hussainpuri, Raj Shekhar",Tanu Weds Manu
Arjan Vailly,"Manan Bhardwaj, Bhupinder Babbal",ANIMAL
Kashmir,"Manan Bhardwaj, Shreya Ghoshal",ANIMAL
Chittiyaan Kalaiyaan,"Meet Bros Anjjan, Kanika Kapoor",Roy
Aapka Kya Hoga (Dhanno),"Mika Singh, Sunidhi Chauhan, Sajid Khan",Housefull
Long Drive,Mika Singh,Khiladi 786
